x y t case x_pre y_pre x_cor y_cor
3205.88 1239.12 12.146 2 3206 1238 3205 1239
3205.5 1237.52 12.1619 2 3205 1238 3205 1237
3206.38 1238.39 12.1769 2 3205 1236 3206 1238
3204.9 1239.72 12.1927 2 3206 1238 3204 1239
3205.99 1238.72 12.208 2 3204 1239 3205 1238
3207.26 1239.68 12.2237 2 3205 1238 3207 1239
3206.64 1239.67 12.2388 2 3207 1239 3206 1239
3207.9 1237.78 12.2548 2 3206 1239 3207 1237
3209.8 1235.9 12.2702 2 3208 1237 3209 1235
3210.67 1235.01 12.2828 2 3210 1235 3210 1235
3211.49 1234.19 12.2971 3 3211 1234 3211 1234
3212.38 1233.29 12.3131 3 3212 1233 3212 1233
3213.27 1232.39 12.3291 3 3213 1232 3213 1232
3214.1 1231.55 12.3444 3 3214 1231 3214 1231
3200.43 1204.97 12.3638 3 3214 1230 3200 1204
3198.97 1199.87 12.3766 2 3198 1199 3198 1199
3197.63 1195.24 12.3914 3 3197 1195 3197 1195
3196.19 1190.23 12.4074 3 3196 1190 3196 1190
3194.84 1185.53 12.4221 3 3194 1185 3194 1185
3193.39 1180.51 12.4387 3 3193 1180 3193 1180
3192.04 1175.8 12.453 3 3192 1175 3192 1175
3190.59 1170.78 12.4696 3 3190 1170 3190 1170
3189.14 1165.76 12.4853 3 3189 1165 3189 1165
3187.79 1161.05 12.5008 3 3187 1161 3187 1161
3186.34 1156.01 12.5166 3 3186 1156 3186 1156
3184.99 1151.34 12.5317 3 3184 1151 3184 1151
3183.54 1146.3 12.5477 3 3183 1146 3183 1146
3182.09 1141.26 12.5636 3 3182 1141 3182 1141
3180.74 1136.58 12.5786 3 3180 1136 3180 1136
3179.29 1131.54 12.5945 3 3179 1131 3179 1131
3177.94 1126.86 12.6094 3 3177 1126 3177 1126
3177.94 1126.86 12.7361 4 3177 1126 3177 1126
3177.94 1126.86 12.856 4 3177 1126 3177 1126
3177.94 1126.86 12.9793 4 3177 1126 3177 1126
3177.94 1126.86 13.1049 4 3177 1126 3177 1126
3177.94 1126.86 13.2271 4 3177 1126 3177 1126
3177.94 1126.86 13.3533 4 3177 1126 3177 1126
3177.94 1126.86 13.4781 4 3177 1126 3177 1126
3177.94 1126.86 13.6045 4 3177 1126 3177 1126
3177.94 1126.86 13.7277 4 3177 1126 3177 1126
3177.94 1126.86 13.8559 4 3177 1126 3177 1126
3177.94 1126.86 13.9757 4 3177 1126 3177 1126
3177.94 1126.86 14.1026 4 3177 1126 3177 1126
3177.94 1126.86 14.2271 4 3177 1126 3177 1126
3177.94 1126.86 14.3515 4 3177 1126 3177 1126
3177.94 1126.86 14.4758 4 3177 1126 3177 1126
3177.94 1126.86 14.6024 4 3177 1126 3177 1126
3177.94 1126.86 14.7249 4 3177 1126 3177 1126
3177.94 1126.86 14.8499 4 3177 1126 3177 1126
3177.94 1126.86 14.975 4 3177 1126 3177 1126
3177.94 1126.86 15.0999 4 3177 1126 3177 1126
3177.94 1126.86 15.2244 4 3177 1126 3177 1126
3177.94 1126.86 15.3503 4 3177 1126 3177 1126
3177.94 1126.86 15.4769 4 3177 1126 3177 1126
3177.94 1126.86 15.603 4 3177 1126 3177 1126
3177.94 1126.86 15.7247 4 3177 1126 3177 1126
3177.94 1126.86 15.8493 4 3177 1126 3177 1126
3177.94 1126.86 15.9741 4 3177 1126 3177 1126
3177.94 1126.86 16.0987 4 3177 1126 3177 1126
3177.94 1126.86 16.2244 4 3177 1126 3177 1126
3177.94 1126.86 16.3464 4 3177 1126 3177 1126
3177.94 1126.86 16.4729 4 3177 1126 3177 1126
3177.94 1126.86 16.5975 4 3177 1126 3177 1126
3177.94 1126.86 16.7236 4 3177 1126 3177 1126
3177.94 1126.86 16.8486 4 3177 1126 3177 1126
3177.94 1126.86 16.9735 4 3177 1126 3177 1126
3177.94 1126.86 17.0956 4 3177 1126 3177 1126
3177.94 1126.86 17.2238 4 3177 1126 3177 1126
3177.94 1126.86 17.3477 4 3177 1126 3177 1126
3177.94 1126.86 17.4711 4 3177 1126 3177 1126
3177.94 1126.86 17.5959 4 3177 1126 3177 1126
3177.94 1126.86 17.7215 4 3177 1126 3177 1126
3177.94 1126.86 17.8451 4 3177 1126 3177 1126
3177.94 1126.86 17.9696 4 3177 1126 3177 1126
3177.94 1126.86 18.094 4 3177 1126 3177 1126
3177.94 1126.86 18.2191 4 3177 1126 3177 1126
3177.94 1126.86 18.3435 4 3177 1126 3177 1126
3177.94 1126.86 18.4756 4 3177 1126 3177 1126
3177.94 1126.86 18.5933 4 3177 1126 3177 1126
3177.94 1126.86 18.7213 4 3177 1126 3177 1126
3177.94 1126.86 18.8432 4 3177 1126 3177 1126
3177.94 1126.86 18.9685 4 3177 1126 3177 1126
3177.94 1126.86 19.094 4 3177 1126 3177 1126
3177.94 1126.86 19.2189 4 3177 1126 3177 1126
3177.94 1126.86 19.346 4 3177 1126 3177 1126
3177.94 1126.86 19.4666 4 3177 1126 3177 1126
3177.94 1126.86 19.5969 4 3177 1126 3177 1126
3177.94 1126.86 19.7187 4 3177 1126 3177 1126
3177.94 1126.86 19.8462 4 3177 1126 3177 1126
3177.94 1126.86 19.968 4 3177 1126 3177 1126
3177.94 1126.86 20.0938 4 3177 1126 3177 1126
3177.94 1126.86 20.2182 4 3177 1126 3177 1126
3177.94 1126.86 20.3469 4 3177 1126 3177 1126
3177.94 1126.86 20.4683 4 3177 1126 3177 1126
3177.94 1126.86 20.5911 4 3177 1126 3177 1126
3177.94 1126.86 20.7172 4 3177 1126 3177 1126
3177.94 1126.86 20.842 4 3177 1126 3177 1126
3177.94 1126.86 20.9674 4 3177 1126 3177 1126
3177.94 1126.86 21.0914 4 3177 1126 3177 1126
3177.94 1126.86 21.2174 4 3177 1126 3177 1126
